Nome,Idade,Endereço,Telefone,Email
Lucca Alves,16,"Recanto Ana Julia Araújo, 606Mala E Cuia15489304 Lopes / PI",(021) 4970-2956,maria-eduarda04@example.com
Murilo Porto,19,"Conjunto Enzo Castro, 1Jardim Felicidade62680965 Gonçalves do Oeste / TO",+55 (081) 3082-7823,ldas-neves@example.com
Felipe Ramos,53,"Esplanada de Campos, 418Conjunto Serra Verde40218-601 Caldeira / MA",71 9108 7609,gomeseloah@example.org
Rodrigo Aragão,39,Sítio Helena MouraSão Pedro40044-010 Cardoso Paulista / RR,+55 (041) 9040 4499,helena86@example.com
Nicolas Cardoso,35,"Área da Mata, 340São Paulo94385-190 da Cruz / GO",+55 41 0508 7121,barbosaemilly@example.org
Juan da Conceição,77,"Conjunto de das Neves, 69Coqueiros71691086 da Rocha dos Dourados / MG",71 7745 5840,cavalcanticaue@example.net
Gustavo Henrique Barbosa,46,"Favela de Melo, 973Conjunto Lagoa55814-991 Ramos / PB",0900-888-6417,ana-beatrizmartins@example.net
Matheus Cardoso,32,"Largo de Correia, 210Dom Silverio46768438 Fogaça / PI",61 0826 6034,iteixeira@example.net
Sr. Pedro Lucas Moreira,56,"Recanto de Peixoto, 41Santo Antônio89567-129 Porto da Praia / SE",+55 81 3548 4054,ana-sophia01@example.com
Cauã Nunes,77,"Área de Correia, 26Novo Ouro Preto95563-377 da Cruz / AL",+55 81 4728 7488,mnogueira@example.org
